Lp.;nazwa JST;wojewodztwo;powiat;typ JST*;nazwa urzędu JST;siedziba urzędu;;;;;nr telefonu;;;nr faksu;;dane wójta/burmistrza/prezydenta/starosty;;;adres mail'owy sekretarza gminy/powiatu;ogólny adres mail'owy gminy/powiatu;adres www jednostki
Województwo wielkopolskie;;;;;;;;;;;;;;;;;;;;;
1415;Babiak;wielkopolskie;kolski;GW;Urząd Gminy;Babiak;62-620;Babiak;Plac Wolności;5;(63);271-10-71;;(63);271-16-24;Wójt;Wojciech;Chojnowski;ug@babiak.org.pl;ug@babiak.org.pl;http://www.babiak.org.pl/cms/index.php
1416;Baranów;wielkopolskie;kępiński;GW;Urząd Gminy;Baranów;63-604;Baranów;Rynek;21;(62);781-04-00;;(62);781-04-05;Wójt;Bogumiła;Lewandowska-Siwek;sekretarz@baranow.ug.gov.pl;urzad@baranow.ug.gov.pl;www.baranow.ug.gov.pl
1417;Białośliwie;wielkopolskie;pilski;GW;Urząd Gminy;Białośliwie;89-340;Białośliwie;ul.Kordeckiego;1;(67);287-50-13;;(67);287-57-91;Wójt;Franciszek;Tamas;ug@ug.bialosliwie.pl;ug@ug.bialosliwie.pl;http://bip2.bialosliwie.pl/
1418;Blizanów;wielkopolskie;kaliski;GW;Urząd Gminy;Blizanów;62-814;Blizanów;Blizanów;53;(62);751-10-10;;(62);764-11-13;Wójt;Sławomir;Musioł;sekretariat@blizanow.ug.gov.pl;sekretariat@blizanow.ug.gov.pl;www.blizanow.ug.gov.pl
1419;Bralin;wielkopolskie;kępiński;GW;Urząd Gminy;Bralin;63-640;Bralin;Rynek;3;(62);781-12-01;;(62);781-12-02;Wójt;Roman;Wojtysiak;zbigniew.latka@bralin.pl;gmina@bralin.pl;www.bralin.pl
1420;Brodnica;wielkopolskie;śremski;GW;Urząd Gminy;Brodnica;63-112;Brodnica;Brodnica;41;(61);282-35-27;;(61);282-35-58;Wójt;Marek;Pakowski;sekretarz@brodnica.net.pl;ug@brodnica.net.pl;www.brodnica.net.pl
1421;Brudzew;wielkopolskie;turecki;GW;Urząd Gminy;Brudzew;62-720;Brudzew;ul.Turkowska;29;(63);279-70-47;;(63);279-83-39;Wójt;Cezary;Krasowski;piotr.nowaczyk@brudzew.pl;ug@brudzew.pl;www.brudzew.pl
1422;Brzeziny;wielkopolskie;kaliski;GW;Urząd Gminy;Brzeziny;62-874;Brzeziny;ul. 1000-lecia;8;(62);769-80-04;;(62);769-80-62;Wójt;Krzysztof ;Niedźwiedzki;urzad@brzeziny-gmina.pl;urzad@brzeziny-gmina.pl;www.brzeziny-gmina.pl
1423;Budzyń;wielkopolskie;chodzieski;GW;Urząd Gminy;Budzyń;64-840;Budzyń;ul.Lipowa;6;(67);284-32-01;;(67);284-32-01;Wójt;Marcin;Sokołowski;sekretarz@budzyn.pl;urzad@budzyn.pl;www.budzyn.pl
1424;Ceków-Kolonia;wielkopolskie;kaliski;GW;Urząd Gminy;Ceków-Kolonia;62-834;Ceków-Kolonia;Ceków-Kolonia;51;(62);763-10-02;;(62);763-11-51;Wójt;Hieronim;Kasprzak;ug-cekowk@wp.pl;ug-cekowk@wp.pl;www.cekow.pl
1425;Chocz;wielkopolskie;pleszewski;GW;Urząd Gminy;Chocz;63-313;Chocz;Rynek;17;(62);741-53-29;;(62);741-56-85;Wójt;Marian;Wielgosik;sekretarz@chocz.pl;ug@chocz.pl;www.chocz.pl
1426;Chodów;wielkopolskie;kolski;GW;Urząd Gminy;Chodów;62-652;Chodów;Chodów;18;(63);273-72-77;;(63);273-72-20;Wójt;Henryk;Tomczak;gminachodow@poczta.neostrada.pl;gminachodow@poczta.neostrada.pl;www.gmina.neostrada.pl/chodow/
1427;Chodzież;wielkopolskie;chodzieski;GW;Urząd Gminy;Chodzież;64-800;Chodzież;ul. Notecka;28;(67);282-16-08;;(67);282-16-08;Wójt;Zbigniew;Salwa;sekretariat@gminachodziez.pl;sekretariat@gminachodziez.pl;www.gminachodziez.pl
1428;Chrzypsko Wielkie;wielkopolskie;międzychodzki;GW;Urząd Gminy;Chrzypsko Wielkie;64-412;Chrzypsko Wielkie;ul. Główna;15;(61);295-10-11;;(61);295-10-11 wew. 13;Wójt;Edmund;Ziółek;sekretarz@chrzypsko.pl;urzad@chrzypsko.pl;www.chrzypsko.pl
1429;Czajków;wielkopolskie;ostrzeszowski;GW;Urząd Gminy;Czajków;63-524;Czajków;Czajków;39;(62);731-10-20;;(62);731-10-34;Wójt;Henryk;Plichta;sekretarz@czajkow-gmina.pl;ugczajkow@xl.wp.pl;www.czajkow-gmina.pl
1430;Czarnków;wielkopolskie;czarnkowsko-trzcianecki  ;GW;Urząd Gminy;Czarnków;64-700;Czarnków;ul. Rybaki;3;(67);255-22-27;;(67);255-30-79;Wójt;Bolesław;Chwarścianek;sekretarz@czarnkowgmina.pl;urzad@czarnkowgmina.pl;www.czarnkowgmina.pl
1431;Czermin;wielkopolskie;pleszewski;GW;Urząd Gminy;Czermin;63-304;Czermin;Czermin;47;(62);741-75-67;;(62);741-73-24;Wójt;Sławomir;Spychaj;zastepcawojta@czermin.wlkp.pl;ugczermin@czermin.wlkp.pl;www.czermin.wlkp.pl
1432;Czerwonak;wielkopolskie;poznański;GW;Urząd Gminy;Czerwonak;62-004;Czerwonak;ul. Źródlana;39;(61);654-42-04;;(61);812-02-70;Wójt;Mariusz;Poznański;kancelaria@czerwonak.pl;kancelaria@czerwonak.pl;www.czerwonak.pl
1433;Damasławek;wielkopolskie;wągrowiecki;GW;Urząd Gminy;Damasławek;62-110;Damasławek;Rynek;8;(67);261-36-11;;(67);261-36-27;Wójt;Andrzej;Szewczykowski;ug@damaslawek.pl;ug@damaslawek.pl;www.damaslawek.pl
1434;Dobrzyca;wielkopolskie;pleszewski;GW;Urząd Gminy;Dobrzyca;63-330;Dobrzyca;Rynek;14;(62);741-30-63;;(62);741-30-61;Wójt;Jarosław ;Pietrzak;sekretarz@dobrzyca.pl;gmina@dobrzyca.pl;www.dobrzyca.pl
1435;Dominowo;wielkopolskie;średzki;GW;Urząd Gminy;Dominowo;63-012;Dominowo;ul. Centralna;7;(61);285-92-13;;(61);623-15-33;Wójt;Krzysztof ;Pauter;urzad@dominowo.pl;urzad@dominowo.pl;www.dominowo.pl
1436;Dopiewo;wielkopolskie;poznański;GW;Urząd Gminy;Dopiewo;62-070;Dopiewo;ul. Leśna;1C;(61);814-83-31;;(61);814-80-92;Wójt;Zofia;Dobrowolska;sekretarz@dopiewo.pl;urzad_gminy@dopiewo.pl;www.dopiewo.pl
1437;Doruchów;wielkopolskie;ostrzeszowski;GW;Urząd Gminy;Doruchów;63-505;Doruchów;ul. Kępińska;13;(62);731-51-66;;(62);731-56-87;Wójt;Józef;Wilkosz;sekretarz@doruchow.pl;ug@doruchow.pl;www.doruchow.pl
1438;Drawsko;wielkopolskie;czarnkowsko-trzcianecki  ;GW;Urząd Gminy;Drawsko;64-733;Drawsko;ul. Powstańców Wielkopolskich;121;(67);256-91-28;;(67);256-91-35;Wójt;Marek;Tchórzka;sekretarz@gminadrawsko.pl;pctdrawsko@poczta.onet.pl;www.gminadrawsko.pl
1439;Duszniki;wielkopolskie;szamotulski;GW;Urząd Gminy;Duszniki;64-550;Duszniki;ul. Sportowa;1;(61);291-90-75;;(61);291-91-31;Wójt;Adam;Woropaj;urzad@duszniki.eu;urzad@duszniki.eu;www.duszniki.eu
1440;Gizałki;wielkopolskie;pleszewski;GW;Urząd Gminy;Gizałki;63-308;Gizałki;ul. Kaliska;28;(62);741-15-17;;(62);741-11-95;Wójt;Robert;Łoza;aglapa@gizalki.pl;ug@gizalki.pl;www.gizalki.pl
1441;Gniezno;wielkopolskie;gnieźnieński;GW;Urząd Gminy;Gniezno;62-200;Gniezno;Al. Reymonta;2;(61);424-57-50;;(61);424-57-51;Wójt;Włodzimierz;Leman;a.pacholczyk@urzadgminy.gniezno.pl;sekretariat@urzadgminy.gniezno.pl;www.urzadgminy.gniezno.pl
1442;Godziesze Wielkie;wielkopolskie;kaliski;GW;Urząd Gminy;Godziesze Wielkie;62-872;Godziesze Wielkie;ul. 11 Listopada;10;(62);761-10-89;;(62);761-10-53;Wójt;Józef;Podłużny;godziesze-wi@zgwrp.org.pl;godziesze-wi@zgwrp.org.pl;http://pgodzieszew.wokiss.pl/
1443;Gołuchów;wielkopolskie;pleszewski;GW;Urząd Gminy;Gołuchów;63-322;Gołuchów;ul. Lipowa;1;(62);761-70-84;;(62);761-70-82;Wójt;Marek;Zdunek;sekretarz@goluchow.pl;gmina@goluchow.pl;www.goluchow.pl
1444;Granowo;wielkopolskie;grodziski;GW;Urząd Gminy;Granowo;62-066;Granowo;ul.Sportowa;2;(61);447-20-01;38;(61);447-20-01 wew. 50;Wójt;Zbigniew;Kaczmarek;h.kaczmarek@granowo.pl;granowo@granowo.pl;www.granowo.pl
1445;Grodziec;wielkopolskie;koniński;GW;Urząd Gminy;Grodziec;62-580;Grodziec;ul. Główna;17;(63);248-55-00;;(63);248-55-00 wew. 22;Wójt;Piotr;Juszczak;sekretarz@grodziec.pl;ug@grodziec.pl;www.grodziec.pl
1446;Grzegorzew;wielkopolskie;kolski;GW;Urząd Gminy;Grzegorzew;62-640;Grzegorzew;Plac 1000 lecia PP;1;(63);261-64-15;;(63);271-82-22;Wójt;Bożena ;Dominiak;grzegw@grzegorzew.pl;grzegw@grzegorzew.pl;www.grzegorzew.pl
1447;Jaraczewo;wielkopolskie;jarociński;GW;Urząd Gminy;Jaraczewo;63-233;Jaraczewo;ul. Jarocińska;1;(62);747-41-02;;(62);747-31-02;Wójt;Dariusz;Strugała;sekretarz@jaraczewo.pl;ug@jaraczewo.eu;www.jaraczewo.pl
1448;Kaczory;wielkopolskie;pilski;GW;Urząd Gminy;Kaczory;64-810;Kaczory;ul. Dworcowa;22;(67);284-21-56;;(67);284-12-33;Wójt;Brunon;Wolski;gizela.durecka@kaczory.com.pl;sekretariat@kaczory.com.pl;www.kaczory.com.pl
1449;Kamieniec;wielkopolskie;grodziski;GW;Urząd Gminy;Kamieniec;64-061;Kamieniec;ul.Tysiąclecia Państwa Polskiego;25;(61);442-33-88;;(61);443-07-05;Wójt;Piotr;Halasz;sekretarz@kamieniec.pl;gmina@kamieniec.pl;www.kamieniec.pl
1450;Kawęczyn;wielkopolskie;turecki;GW;Urząd Gminy;Kawęczyn;62-704;Kawęczyn;Kawęczyn;;(63);288-50-02;;(63);288-59-40;Wójt;Jan;Nowak;ugkaweczyn@kaweczyn.pl;ugkaweczyn@kaweczyn.pl;www.kaweczyn.pl
1451;Kazimierz Biskupi;wielkopolskie;koniński;GW;Urząd Gminy;Kazimierz Biskupi;62-530;Kazimierz Biskupi;Plac Wolności;1;(63);241-12-10;;(63);241-12-15;Wójt;Janusz;Puszkarek;kazimierzbiskupi@kazimierz-biskupi.pl;kazimierzbiskupi@kazimierz-biskupi.pl;www.kazimierz-biskupi.pl
1452;Kaźmierz;wielkopolskie;szamotulski;GW;Urząd Gminy;Kaźmierz;64-530;Kaźmierz;ul. Szamotulska;20;(61);291-80-65;;(61);291-83-20;Wójt;Wiesław;Włodarczyk;gmina@kazmierz.pl;gmina@kazmierz.pl;www.kazmierz.pl
1453;Kiszkowo;wielkopolskie;gnieźnieński;GW;Urząd Gminy;Kiszkowo;62-280;Kiszkowo;ul. Szkolna;2;(61);429-70-10;;(61);429-70-11;Wójt;Tadeusz;Bąkowski;sekretarz@kiszkowo.pl;ug@kiszkowo.pl;www.kiszkowo.pl
1454;Kleszczewo;wielkopolskie;poznański;GW;Urząd Gminy;Kleszczewo;63-005;Kleszczewo;ul. Poznańska;4;(61);817-60-17;112;(61);817-61-84;Wójt;Bogdan;Kemnitz;G.Przepiora@kleszczewo.pl;urzad@kleszczewo.pl;www.kleszczewo.pl
1455;Kobyla Góra;wielkopolskie;ostrzeszowski;GW;Urząd Gminy;Kobyla Góra;63-507;Kobyla Góra;Plac Wiosny Ludów;1;(62);731-62-28;;(62);731-62-83;Wójt;Eugeniusz;Morta;ug-kobylagora@wp.pl;ug-kobylagora@wp.pl;www.kobyla-gora.pl
1456;Kołaczkowo;wielkopolskie;wrzesiński;GW;Urząd Gminy;Kołaczkowo;62-306;Kołaczkowo;Pl. Reymonta;3;(61);438-53-24;;(61);438-53-21;Wójt;Wojciech;Majchrzak;sekretarz@kolaczkowo.pl;ug@kolaczkowo.pl;www.kolaczkowo.pl
1457;Koło;wielkopolskie;kolski;GW;Urząd Gminy;Koło;62-600;Koło;ul. Sienkiewicza;23;(63);272-01-66;;(63);272-01-66;Wójt;Piotr;Fret;kolo@gmina.neostrada.pl;kolo@gmina.neostrada.pl;http://www.gminakolo.pl/
1458;Komorniki;wielkopolskie;poznański;GW;Urząd Gminy;Komorniki;62-052;Komorniki;ul. Stawna;1;(61);810-77-51;;(61);810-79-85;Wójt;Jan;Broda;sekretarz@komorniki.pl;sekretariat@komorniki.pl;www.komorniki.pl
1459;Kościan;wielkopolskie;kościański;GW;Urząd Gminy;Kościan;64-000;Kościan;ul. Młyńska;15;(65);512-10-01;;(65);512-03-15;Wójt;Henryk;Bartoszewski;malgorzatakrupka@gminakoscian.pl;sekretariat@gminakoscian.pl;www.gminakoscian.pl
1460;Kościelec;wielkopolskie;kolski;GW;Urząd Gminy;Kościelec;62-604;Kościelec;ul. Turecka;7\3;(63);271-62-22;;(63);271-62-70;Wójt;Dariusz;Ostrowski;sekretarz@koscielec.ug.gov.pl;ug@koscielec.ug.gov.pl;www.koscielec.ug.gov.pl
1461;Kotlin;wielkopolskie;jarociński;GW;Urząd Gminy;Kotlin;63-220;Kotlin;ul. Powstańców Wielk.;3;(62);740-54-81;;(62);740-54-82;Wójt;Mirosław;Paterczyk;ug@kotlin.com;ug@kotlin.com;www.kotlin.com
1462;Koźminek;wielkopolskie;kaliski;GW;Urząd Gminy;Koźminek;62-840;Koźminek;ul. Kościuszki;7;(62);763-70-84;;(62);763-72-07;Wójt;Andrzej;Miklas;gmina@kozminek.pl;gmina@kozminek.pl;www.kozminek.pl
1463;Kramsk;wielkopolskie;koniński;GW;Urząd Gminy;Kramsk;62-511;Kramsk;ul. Chopina;12;(63);247-00-04;;(63);247-03-11;Wójt;Józef;Drop;gmina.kramsk@kramsk.pl;gmina.kramsk@kramsk.pl;www.kramsk.pl
1464;Kraszewice;wielkopolskie;ostrzeszowski;GW;Urząd Gminy;Kraszewice;63-522;Kraszewice;ul. Wieluńska;53;(62);731-20-39;33;(62);731-25-50;Wójt;Józef;Olszewski;ug.kraszewice@wp.pl;ug.kraszewice@wp.pl;www.kraszewice.pl
1465;Krzemieniewo;wielkopolskie;leszczyński;GW;Urząd Gminy;Krzemieniewo;64-120;Krzemieniewo;ul. Dworcowa;34;(65);536-92-00;;(65);529-75-15;Wójt;Andrzej;Pietrula;sgm@krzemieniewo.pl;sgm@krzemieniewo.pl;www.krzemieniewo.pl
1466;Krzykosy;wielkopolskie;średzki;GW;Urząd Gminy;Krzykosy;63-024;Krzykosy;ul. Główna;37;(61);285-15-14;;(61);285-15-92;Wójt;Andrzej;Janicki;krzykosy@wokiss.pl;krzykosy@wokiss.pl;http://www.gminakrzykosy.pl/
1467;Krzymów;wielkopolskie;koniński;GW;Urząd Gminy;Krzymów;62-513;Krzymów;ul. Kościelna;2;(63);241-37-62;;(63);241-30-91;Wójt;Tadeusz;Jankowski;krzymow@op.pl;krzymow@op.pl;http://www.krzymow.pl/
1468;Kuślin;wielkopolskie;nowotomyski;GW;Urząd Gminy;Kuślin;64-316 ;Kuślin;ul. Emilii Sczanieckiej;4;(61);447-27-26;;(61);447-27-31;Wójt;Jerzy Stanisław;Dziamski;zbhel@kuslin.pl;kuslin@tosa.pl;www.kuslin.pl
1469;Kwilcz;wielkopolskie;międzychodzki;GW;Urząd Gminy;Kwilcz;64-420;Kwilcz;ul. Wyszyńskiego;23;(61);291-54-00;;(61);291-52-64;Wójt;Stanisław;Mannek;sekretarz@kwilcz.pl;office@kwilcz.pl;www.kwilcz.pl
1470;Lądek;wielkopolskie;słupecki;GW;Urząd Gminy;Lądek;62-406;Lądek;ul. Rynek;26;(63);276-35-04;;(63);276-35-12;Wójt;Arleta;Pleśniak;gmina@gmina-ladek.pl;gmina@gmina-ladek.pl;www.gmina-ladek.pl
1471;Lipka;wielkopolskie;złotowski;GW;Urząd Gminy;Lipka;77-420;Lipka;ul. Kościuszki;28;(67);266-50-41;12;(67);266-57-55;Wójt;Przemysław;Kurdzieko;gmina@lipka.pnet.pl;gmina@lipka.pnet.pl;www.lipka.pnet.pl
1472;Lipno;wielkopolskie;leszczyński;GW;Urząd Gminy;Lipno;64-111;Lipno;ul. Powstańców Wielkopolskich;9;(65);534-01-27;;(65);534-01-09;Wójt;Mariusz;Homski;a.drost@lipno.pl;urzad@lipno.pl;www.lipno.pl
1473;Lisków;wielkopolskie;kaliski;GW;Urząd Gminy;Lisków;62-850;Lisków;ul. Blizińskiego;43 i 56;(62);763-40-04;;(62);763-40-21;Wójt;Maria;Krawiec;gmina@liskow.pl;gmina@liskow.pl;www.liskow.pl
1474;Lubasz;wielkopolskie;czarnkowsko-trzcianecki  ;GW;Urząd Gminy;Lubasz;64-720;Lubasz;ul. Chrobrego;37;(67);255-60-12;;(67);255-64-62;Wójt;Zbigniew;Jahns;lubasz@wokiss.pl;lubasz@wokiss.pl;www.lubasz.pl
1475;Łęka Opatowska;wielkopolskie;kępiński;GW;Urząd Gminy;Łęka Opatowska;63-645;Łęka Opatowska;ul. Akacjowa;4;(62);781-45-20;;(62);781-45-21;Wójt;Witold;Jankowski;sekretarz@leka-opatowska.pl;sekretariat@leka-opatowska.pl;www.leka-opatowska.pl
1476;Łubowo;wielkopolskie;gnieźnieński;GW;Urząd Gminy;Łubowo;62-260;Łubowo;Łubowo;1;(61);427-59-20;;(61);427-58-58;Wójt;Andrzej;Łozowski;sekretariat@lubowo.pl;sekretariat@lubowo.pl;www.lubowo.pl
1477;Malanów;wielkopolskie;turecki;GW;Urząd Gminy;Malanów;62-709;Malanów;ul. Turecka;16;(63);288-30-83;;(63);288-30-83;Wójt;Gerard;Krzeszewski;sekretarz@malanow.pl;gmina@malanow.pl;www.malanow.pl
1478;Miasteczko Krajeńskie;wielkopolskie;pilski;GW;Urząd Gminy;Miasteczko Krajeńskie;89-350;Miasteczko Krajeńskie;ul. Dąbrowskiego;16;(67);287-31-96;;(67);287-31-97;Wójt;Tadeusz;Dąbrowski;miroslawa.gora@miasteczkokrajenskie.pl;sekretariat@miasteczkokrajenskie.pl;www.miasteczkokrajenskie.pl
1479;Miedzichowo;wielkopolskie;nowotomyski;GW;Urząd Gminy;Miedzichowo;64-361;Miedzichowo;ul. Poznańska;12;(61);441-02-40;;(61);441-02-50;Wójt;Stanisław;Piechota;sekretarz@miedzichowo.pl;ug-miedzichowo@post.pl;www.miedzichowo.pl
1480;Mieleszyn;wielkopolskie;gnieźnieński;GW;Urząd Gminy;Mieleszyn;62-212;Mieleszyn;Mieleszyn;23;(61);429-50-60;;(61);429-50-73;Wójt;Janusz;Kamiński;sekretarz@mieleszyn.pl;gmina@mieleszyn.pl;www.mieleszyn.pl
1481;Mieścisko;wielkopolskie;wągrowiecki;GW;Urząd Gminy;Mieścisko;62-290;Mieścisko;Pl. Powstańców Wielkopolskich ;13;(61);429-80-10;;(61);427-80-88;Wójt;Andrzej;Banaszyński;ak@miescisko.nowoczesnagmina.pl;ug@miescisko.nowoczesnagmina.pl;www.miescisko.nowoczesnagmina.pl
1482;Mycielin;wielkopolskie;kaliski;GW;Urząd Gminy;KORZENIEW;62-831;Słuszków;Słuszków;27;(62);761-31-23;;(62);761-31-81;Wójt;Jerzy;Matuszewski;urzad@mycielin.pl;urzad@mycielin.pl;www.mycielin.pl
1483;Niechanowo;wielkopolskie;gnieźnieński;GW;Urząd Gminy;Niechanowo;62-220;Niechanowo;ul. Różana;1;(61);427-21-94;;(61);427-21-27;Wójt;Eugeniusz;Zamiar;ug@niechanowo.pl;ug@niechanowo.pl;www.niechanowo.pl
1484;Nowe Miasto Nad Wartą;wielkopolskie;średzki;GW;Urząd Gminy;Nowe Miasto Nad Wartą;63-040;Nowe Miasto Nad Wartą;ul. Poznańska;14;(61);287-40-14;;(61);287-40-06;Wójt;Aleksander;Podemski;urzad@gmina-nowe-miasto.pl;urzad@gmina-nowe-miasto.pl;www.gmina-nowe-miasto.pl
1485;Obrzycko;wielkopolskie;szamotulski;GW;Urząd Gminy;Obrzycko;64-520;Obrzycko;Rynek;19;(61);291-30-65;;(61);291-30-72;Wójt;Irena;Rakowska;sekretarz@obrzycko.pl;gmina@obrzycko.pl;www.obrzycko.pl
1486;Olszówka;wielkopolskie;kolski;GW;Urząd Gminy;Olszówka;62-641;Olszówka;Olszówka;15;(63);273-93-02;;(63);273-90-30;Wójt;Włodzimierz;Fraszczyk;sekretarz@olszowka.org.pl;urzad.gminy@olszowka.org.pl;www.olszowka.org.pl
1487;Opatówek;wielkopolskie;kaliski;GW;Urząd Gminy;Opatówek;62-860;Opatówek;Pl. Wolności;14;(62);761-85-37;;(62);761-80-17;Wójt;Sebastian;Wardęcki;gmina@opatowek.pl;gmina@opatowek.pl;www.opatowek.pl
1488;Orchowo;wielkopolskie;słupecki;GW;Urząd Gminy;Orchowo;62-436;Orchowo;ul. Kościuszki;6;(63);268-40-94;;(63);268-40-90;Wójt;Teodor;Pryka;g.matkowski@orchowo.pl;ug@orchowo.pl;www.orchowo.pl
1489;Osiek Mały;wielkopolskie;kolski;GW;Urząd Gminy;Osiek Mały;62-613;Osiek Mały;ul. Główna;1;(63);262-41-70;;(63);262-41-71;Wójt;Marek;Górczewski;osiek.maly@wokiss.pl;osiek.maly@wokiss.pl;http://bip.wokiss.pl/osiekmalyg/
1490;Ostrowite;wielkopolskie;słupecki;GW;Urząd Gminy;Ostrowite;62-402;Ostrowite;ul. Lipowa;2;(63);276-51-21;;(63);276-51-60;Wójt;Henryk;Tylman;sekretarz@ostrowite.pl;ugmostrowite@post.pl;www.ostrowite.pl
1491;Ostrów Wielkopolski;wielkopolskie;ostrowski;GW;Urząd Gminy;Ostrów Wielkopolski;63-400;Ostrów Wielkopolski;Al. Powstańców Wielkopolskich;12;(62);735-11-90;;(62);735-11-90;Wójt;Piotr;Kuroszczyk;kancelaria@ostrowwielkopolski.pl;kancelaria@ostrowwielkopolski.pl;www.ostrowwielkopolski.pl
1492;Pakosław;wielkopolskie;rawicki;GW;Urząd Gminy;Pakosław;63-920;Pakosław;ul. Kolejowa;2;(65);547-83-32;;(65);547-83-32;Wójt;Kazimierz;Chudy;sekretarz@pakoslaw.pl;pakoslaw@pakoslaw.pl;www.pakoslaw.pl
1493;Perzów;wielkopolskie;kępiński;GW;Urząd Gminy;Perzów;63-642;Perzów;Perzów;78A;(62);786-10-60;;(62);786-15-09;Wójt;Bożena ;Henczyca;ugperzow@wp.pl;ugperzow@wp.pl;http://perzow.pl/
1494;Pępowo;wielkopolskie;gostyński;GW;Urząd Gminy;Pępowo;63-830;Pępowo;ul. Nadstawek;6;(65);573-63-05;;(65);573-60-32;Wójt;Stanisław;Krysicki;ug@pepowo.pl;ug@pepowo.pl;www.pepowo.pl
1495;Piaski;wielkopolskie;gostyński;GW;Urząd Gminy;Piaski;63-820;Piaski;ul. 6 Stycznia;1;(65);571-90-30;;(65);571-90-49;Wójt;Zenon;Norman;w.glapka@piaski-wlkp.pl;sekretariat@piaski-wlkp.pl;www.piaski-wlkp.pl
1496;Połajewo;wielkopolskie;czarnkowsko-trzcianecki  ;GW;Urząd Gminy;Połajewo;64-710;Połajewo;ul. Obornicka;6A;(67);256-70-28;;(67);256-78-55;Wójt;Stanisław;Pochyluk;ug@polajewo.pl;ug@polajewo.pl;www.polajewo.pl
1497;Powidz;wielkopolskie;słupecki;GW;Urząd Gminy;Powidz;62-430;Powidz;ul. 29 Grudnia;24;(63);277-62-72;;(63);277-62-73;Wójt;Ryszard;Grześkowiak;ug_powidz@post.pl;ug_powidz@post.pl;www.powidz.pl
1498;Przemęt;wielkopolskie;wolsztyński;GW;Urząd Gminy;Przemęt;64-234;Przemęt;ul. Jagiellońska;8;(65);549-60-71;;(65);549-69-77;Wójt;Dorota;Gorzelniak;sekretarz@przemet.pl;urzad@przemet.pl;www.przemet.pl
1499;Przygodzice;wielkopolskie;ostrowski;GW;Urząd Gminy;Przygodzice;63-421;Przygodzice;Pl. Powstańców Wielkopolskich ;2;(62);592-77-22;;(62);592-70-00;Wójt;Krzysztof ;Rasiak;sekretarz@przygodzice.pl;ugp@przygodzice.pl;www.przygodzice.pl
1500;Przykona;wielkopolskie;turecki;GW;Urząd Gminy;Przykona;62-731;Przykona;ul. Szkolna;7;(63);278-61-19;;(63);278-62-20;Wójt;Mirosław;Broniszewski;przykona@przykona.pl;przykona@przykona.pl;www.przykona.pl
1501;Rokietnica;wielkopolskie;poznański;GW;Urząd Gminy;Rokietnica;62-090;Rokietnica;ul. Golęcińska;1;(61);896-06-00;;(61);814-50-82;Wójt;Bartosz;Derech;danuta.potrawiak@rokietnica.pl;urzad@rokietnica.pl;www.rokietnica.pl
1502;Rozdrażew;wielkopolskie;krotoszyński;GW;Urząd Gminy;Rozdrażew;63-708;Rozdrażew;Rynek;3;(62);722-13-05;;(62);722-13-70;Wójt;Mariusz;Dymarski;bbiesiada@rozdrazew.pl;sekretariat@rozdrazew.pl;www.rozdrazew.pl
1503;Rychtal;wielkopolskie;kępiński;GW;Urząd Gminy;Rychtal;63-630;Rychtal;Rynek;1;(62);781-68-02;;(62);781-68-05;Wójt;Czesław;Balcerzak;ugrychtal@wp.pl;ugrychtal@wp.pl;www.rychtal.pl
1504;Ryczywół;wielkopolskie;obornicki;GW;Urząd Gminy;Ryczywół;64-630;Ryczywół;ul. Mickiewicza;10;(67);283-70-02;;(67);283-70-02;Wójt;Jerzy;Gacek;sekretarz@ryczywol.pl;ug@ryczywol.pl;www.ryczywol.pl
1505;Rzgów;wielkopolskie;koniński;GW;Urząd Gminy;Rzgów;62-586;Rzgów;ul. Konińska;8;(63);241-90-18;23;(63);241-97-90;Wójt;Andrzej;Grzeszczak;sekretarz@gminarzgow.pl;ug@gminarzgow.pl;www.gminarzgow.pl
1506;Siedlec;wielkopolskie;wolsztyński;GW;Urząd Gminy;Siedlec;64-212;Siedlec;ul.Zbąszyńska;17;(68);384-85-21;;(68);384-84-73;Wójt;Adam;Cukier;ug@siedlec.pl;ug@siedlec.pl;www.siedlec.pl
1507;Sieroszewice;wielkopolskie;ostrowski;GW;Urząd Gminy;Sieroszewice;63-405;Sieroszewice;ul. Ostrowska;65;(62);739-60-76;;(62);739-64-56;Wójt;Czesław;Berkowski;sekretarz@sieroszewice.pl;sieroszewice@sieroszewice.pl;www.sieroszewice.pl
1508;Skulsk;wielkopolskie;koniński;GW;Urząd Gminy;Skulsk;62-560;Skulsk;ul. Targowa;2;(63);268-20-18;19;(63);268-20-18;Wójt;Andrzej;Operacz;ug.skulsk@wp.pl;ug.skulsk@wp.pl;www.gmina-skulsk.pl
1509;Słupca;wielkopolskie;słupecki;GW;Urząd Gminy;Słupca;62-400;Słupca;ul. Sienkiewicza;16;(63);274-36-76;;(63);274-36-76 wew. 44;Wójt;Michał;Pyrzyk;sekretariat@gmina.slupca.pl;sekretariat@gmina.slupca.pl;www.gmina.slupca.pl
1510;Sośnie;wielkopolskie;ostrowski;GW;Urząd Gminy;Sośnie;63-435;Sośnie;ul. Wielkopolska ;47;(62);739-39-14;;(62);739-39-33;Wójt;Krzysztof ;Bochen;sosnie@sosnie.pl;sosnie@sosnie.pl;www.sosnie.pl
